"filename", "language", "Dart", "comment", "blank", "total"
"d:\Codes\Test\Flutter\qvise\lib\features\flashcards\shared\data\models\flashcard_model.dart", "Dart", 155, 3, 12, 170
"d:\Codes\Test\Flutter\qvise\lib\features\flashcards\shared\data\repositories\flashcard_repository_impl.dart", "Dart", 227, 4, 27, 258
"d:\Codes\Test\Flutter\qvise\lib\features\flashcards\shared\domain\entities\flashcard.dart", "Dart", 69, 8, 12, 89
"d:\Codes\Test\Flutter\qvise\lib\features\flashcards\shared\domain\entities\flashcard_tag.dart", "Dart", 126, 5, 19, 150
"d:\Codes\Test\Flutter\qvise\lib\features\flashcards\shared\domain\repositories\flashcard_repository.dart", "Dart", 27, 1, 3, 31
"d:\Codes\Test\Flutter\qvise\lib\features\flashcards\shared\presentation\providers\flashcard_count_provider.dart", "Dart", 13, 2, 3, 18
"d:\Codes\Test\Flutter\qvise\lib\features\flashcards\shared\presentation\providers\flashcard_providers.dart", "Dart", 36, 4, 6, 46
"d:\Codes\Test\Flutter\qvise\lib\features\sync\presentation\widgets\sync_status_widget.dart", "Dart", 59, 2, 8, 69
"d:\Codes\Test\Flutter\qvise\lib\main.dart", "Dart", 218, 1, 23, 242
"Total", "-", 17930, 767, 1782, 20479
